{name: Hydrogen; symbol: H; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 1.0079}
{name: Helium; symbol: He; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 4.0026}
{name: Lithium; symbol: Li; metallicProperties: Metallic; matterState: Solid; atomicMass: 6.941}
{name: Beryllium; symbol: Be; metallicProperties: Metallic; matterState: Solid; atomicMass: 9.0122}
{name: Boron; symbol: B; metallicProperties: Metalloid; matterState: Solid; atomicMass: 10.811}
{name: Carbon; symbol: C; metallicProperties: Non-metallic; matterState: Solid; atomicMass: 12.0107}
{name: Nitrogen; symbol: N; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 14.0067}
{name: Oxygen; symbol: O; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 15.9994}
{name: Flourine; symbol: F; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 18.9984}
{name: Neon; symbol: Ne; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 20.1787}
{name: Sodium; symbol: Na; metallicProperties: Metallic; matterState: Solid; atomicMass: 22.9897}
{name: Magnesium; symbol: Mg; metallicProperties: Metallic; matterState: Solid; atomicMass: 24.305}
{name: Aluminum; symbol: Al; metallicProperties: Metallic; matterState: Solid; atomicMass: 26.9815}
{name: Silicon; symbol: Si; metallicProperties: Metalloid; matterState: Solid; atomicMass: 28.0855}
{name: Phosphorus; symbol: P; metallicProperties: Non-metallic; matterState: Solid; atomicMass: 30.9738}
{name: Sulfur; symbol: S; metallicProperties: Non-metallic; matterState: Solid; atomicMass: 32.065}
{name: Chlorine; symbol: Cl; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 35.453}
{name: Argon; symbol: Ar; metallicProperties: Non-metallic; matterState: Gas; atomicMass: 39.948}
{name: Potassium; symbol: K; metallicProperties: Metallic; matterState: Solid; atomicMass: 39.0983}
{name: Calcium; symbol: Ca; metallicProperties: Metallic; matterState: Solid; atomicMass: 40.078}
{name: Scandium; symbol: Sc; metallicProperties: Metallic; matterState: Solid; atomicMass: 44.9559}
{name: Titanium; symbol: Ti; metallicProperties: Metallic; matterState: Solid; atomicMass: 47.867}
{name: Vanadium; symbol: V; metallicProperties: Metallic; matterState: Solid; atomicMass: 50.9415}
{name: Chromium; symbol: Cr; metallicProperties: Metallic; matterState: Solid; atomicMass: 51.9961}
